"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00053578","Adult-Age 18-21","V1","2","2","3","2","4","1","1","3","3","4","2","1","3","1","4","1","1","4","1","4","2","4","1","1","4","4","1","1","3","4","3","1","1","3","3","4","1","1","2","4","4","1","1","3","4","4","4","1","1","4","2","4","4","2","4","4","1","4","4","31","14","12","19","18","94"
"A00038998","ENROLLED","V1REP","2","2","3","1","3","3","2","2","3","3","2","2","1","3","3","2","2","4","2","3","3","2","2","3","3","4","2","2","2","3","2","3","2","3","2","4","2","3","2","3","2","2","2","2","3","4","3","3","3","2","2","4","2","2","3","4","2","2","3","34","27","22","24","32","139"
"A00051774","Adult- Age 22-59","V1","2","4","2","1","4","1","2","3","4","4","4","3","1","2","4","1","4","2","3","4","2","4","4","2","4","4","2","1","4","4","4","1","1","4","4","4","2","2","4","4","3","1","2","4","4","4","3","1","2","4","4","1","4","2","4","4","2","4","4","16","19","17","24","16","92"
"A00066156","ONE_DAY- Age 22-59","VA","2","4","2","1","4","1","2","2","4","4","1","4","3","1","4","2","4","1","2","4","2","4","2","2","4","4","1","2","3","4","1","1","1","4","4","3","1","2","2","4","2","1","2","3","3","3","4","2","1","4","3","1","3","2","4","2","2","3","3","21","18","12","34","19","104"
"A00045589","Older Adult- Age 60-64","V1","2","3","4","2","4","2","2","2","2","4","1","3","2","1","4","2","3","4","2","4","1","2","3","3","4","4","2","2","3","4","3","4","1","2","4","2","3","1","4","4","3","3","2","3","3","4","1","1","2","4","2","4","4","3","4","2","4","3","4","28","17","27","23","15","110"
"A00062351","ONE_DAY- Age 22-59","VA","2","4","2","1","4","1","4","4","2","4","3","3","2","2","4","1","4","4","2","4","1","4","3","1","4","4","1","1","4","4","3","1","1","4","4","4","1","2","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","2","4","1","4","4","4","14","15","14","21","14","78"
"A00061276","ONE_DAY- Age 22-59","VA","3","2","3","2","3","2","3","3","3","3","2","3","3","2","3","2","3","2","2","3","3","3","4","3","3","4","2","2","1","3","4","2","2","2","3","4","2","2","2","3","3","2","2","1","3","4","3","2","2","3","1","3","2","3","3","3","2","2","3","35","24","21","20","30","130"
"A00038189","Adult- Age 22-59","V1","3","2","2","2","3","1","2","1","3","3","2","2","3","1","3","1","3","4","1","3","1","3","2","2","3","2","2","2","2","3","1","2","2","2","4","2","1","2","1","3","2","1","1","2","3","4","2","2","2","2","2","1","3","3","3","2","2","2","2","35","19","17","34","30","135"
"A00035840","ENROLLED","V1REP","2","4","3","1","4","1","2","3","4","4","1","4","3","2","4","1","4","3","2","4","3","4","3","2","4","4","1","1","4","4","4","1","1","3","4","4","2","1","4","4","4","1","2","4","4","4","3","1","2","4","2","2","4","2","4","4","2","4","4","18","16","15","19","16","84"
"A00050815","Adult- Age 22-59","V1","3","4","2","1","4","2","1","2","2","4","2","2","2","2","4","2","3","1","2","4","1","4","2","2","4","1","2","2","3","4","2","1","2","3","4","3","2","2","4","4","2","2","2","4","4","4","3","2","2","4","3","1","3","2","4","2","2","3","4","23","22","19","36","17","117"
"A00035553","Adult- Age 22-59","V1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1","2","2","1","1","3","1","3","1","2","3","1","1","2","1","2","1","2","1","2","1","2","1","1","1","2","1","2","1","2","2","1","2","2","2","1","2","1","1","2","1","2","1","2","1","38","15","20","46","48","167"
"A00035562","Adult- Age 22-59","V1","4","4","2","2","3","1","3","2","3","4","1","4","2","2","3","2","2","3","2","2","2","4","3","1","3","4","1","2","4","4","2","2","2","3","3","4","1","1","3","3","3","2","2","3","3","4","3","1","1","1","3","4","3","2","3","4","3","2","2","22","19","17","23","30","111"
"A00054533","Adult-Age 18-21","V1","2","3","2","2","4","2","4","4","3","3","3","3","3","1","3","2","4","2","2","3","2","3","3","3","4","2","2","2","3","3","2","2","2","3","4","4","2","2","3","4","2","2","2","2","4","4","3","2","2","3","2","3","3","3","4","4","3","3","4","25","23","20","25","21","114"
"A00039756","Older Adult- Age 65-85","V1","2","4","3","2","4","2","3","4","4","4","3","2","3","2","4","2","4","4","2","4","2","4","4","2","4","4","2","2","4","4","3","2","2","3","4","4","2","2","3","4","4","2","2","3","4","4","3","3","2","4","3","3","4","3","4","4","4","4","3","21","24","19","16","15","95"
"A00028430","Adult- Age 22-59","V1","3","3","3","1","4","2","2","4","4","4","3","4","4","2","4","2","4","4","2","4","2","4","3","1","4","4","1","2","3","4","4","1","2","3","4","4","1","2","3","4","4","1","2","3","4","4","2","2","2","4","3","4","4","3","4","4","3","3","3","23","24","14","14","16","91"
"A00060259","ENROLLED","V1","2","4","2","1","4","1","3","4","3","4","2","3","2","2","4","2","3","2","3","4","2","4","3","2","3","2","1","1","3","4","2","2","2","3","4","4","2","2","3","4","2","1","2","3","4","4","2","2","2","3","3","2","3","2","4","2","3","3","4","22","20","19","29","18","108"
"A00054534","Adult-Age 18-21","V1","4","3","1","1","4","1","2","1","4","4","3","4","2","1","4","1","4","1","1","4","3","4","1","2","4","1","2","2","2","4","1","4","2","3","3","4","1","2","2","4","1","1","1","3","3","1","2","1","1","2","2","1","4","1","4","1","2","4","4","23","21","17","44","20","125"
"A00064323","ONE_DAY-Age 65-85","VA","3","3","2","1","4","1","2","2","3","4","1","4","3","2","3","1","3","1","1","4","2","4","2","1","4","2","1","2","4","4","1","2","1","4","4","1","2","2","3","4","2","1","1","4","4","1","3","1","1","4","4","1","4","2","4","1","3","4","3","18","16","15","41","17","107"
"A00066091","ONE_DAY","VA","4","4","1","1","3","1","3","1","4","3","1","3","2","1","4","2","4","1","2","4","1","4","1","2","4","2","1","1","4","3","2","2","2","3","3","1","1","2","2","4","2","1","3","4","3","1","2","1","1","3","4","1","4","2","3","1","2","2","3","20","19","15","44","24","122"
"A00039699","Adult- Age 22-59","V1","3","4","2","2","3","3","2","4","3","2","3","2","2","2","3","2","3","2","2","3","2","3","2","2","3","2","2","2","2","3","2","3","2","3","4","1","2","3","2","3","2","2","2","3","3","2","3","2","2","3","3","2","3","2","3","2","3","3","2","27","26","21","35","29","138"
"A00040116","Adult- Age 22-59","V1","3","3","3","1","4","3","3","3","4","4","3","3","3","3","4","2","3","2","2","4","3","3","2","2","4","2","2","2","3","4","2","1","1","3","4","3","2","2","3","4","2","1","1","3","4","3","2","2","2","4","4","1","3","2","4","2","2","2","4","24","24","18","32","17","115"
"A00025566","Older Adult- Age 65-85","V1","4","4","3","1","2","1","4","1","3","2","3","3","3","1","2","2","4","2","1","4","1","4","3","1","4","2","1","1","4","3","2","1","1","3","4","1","1","1","2","2","2","1","1","4","4","2","4","1","1","4","2","1","4","2","3","4","3","2","3","21","17","11","34","26","109"
"A00039988","Older Adult- Age 65-85","V1","1","1","1","1","3","1","4","1","4","1","4","1","2","1","1","2","2","4","1","3","3","3","1","3","1","3","1","1","3","3","1","1","1","3","2","1","1","1","1","1","1","1","2","3","1","2","4","1","2","1","2","1","1","3","1","2","2","2","1","33","19","12","40","48","152"
"A00029979","Adult-Age 18-21","V1","4","4","2","1","4","1","4","3","4","4","1","4","1","1","4","1","4","2","1","4","2","4","1","2","4","3","1","2","3","4","3","1","2","4","4","4","1","3","3","4","2","1","2","3","4","2","4","2","2","4","3","1","4","2","4","3","3","4","4","17","22","11","33","15","98"
"A00039755","Adult- Age 22-59","V1","2","3","3","1","3","2","2","2","3","3","2","3","2","1","3","1","4","3","2","3","2","3","3","3","3","4","1","3","3","3","2","2","2","3","3","4","2","2","2","3","3","2","2","3","3","4","2","2","2","3","3","2","3","3","3","2","3","3","2","26","22","19","26","29","122"
"A00061787","ONE_DAY-Age 65-85","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00065478","ONE_DAY- Age 22-59","VA","3","2","2","1","4","1","2","2","4","3","4","1","4","2","4","2","2","1","1","2","1","2","1","2","2","3","2","1","1","4","1","2","1","2","2","1","1","3","2","2","1","1","1","2","1","1","2","2","1","4","2","1","2","4","2","1","3","1","1","40","20","16","41","34","151"
"A00062934","ONE_DAY- Age 22-59","VA","3","3","2","1","4","1","3","1","4","4","2","2","1","1","4","1","4","1","1","4","2","3","3","2","4","1","1","1","3","4","2","2","2","3","4","1","1","2","3","4","2","1","2","4","4","1","3","1","2","4","2","1","4","2","2","1","1","3","3","24","19","13","43","20","119"
"A00039277","ENROLLED","V1REP","3","2","2","1","3","1","2","3","4","3","1","2","4","1","2","2","2","2","3","3","2","4","2","2","3","4","1","2","2","4","1","1","1","3","4","4","1","3","2","3","3","1","2","2","4","4","4","2","2","2","3","2","3","2","1","4","4","3","3","30","21","13","25","28","117"
"A00060169","ENROLLED","V1","3","4","2","1","4","1","3","2","4","4","1","3","1","1","4","2","3","2","2","3","2","3","2","1","4","1","1","2","3","4","2","1","2","3","4","2","1","2","4","4","2","1","2","4","4","1","4","2","2","4","3","1","4","2","4","1","4","3","4","21","21","11","41","15","109"
"A00066926","ONE_DAY","VA","1","4","1","1","2","1","3","1","3","4","1","3","1","1","4","1","4","1","1","3","1","3","1","1","3","1","1","1","4","4","1","1","1","4","4","1","2","1","3","4","2","1","1","4","4","1","3","1","1","4","3","1","4","1","4","2","4","4","4","17","11","13","46","18","105"
"A00037767","Adult- Age 22-59","V1","2","4","4","1","4","1","4","3","4","4","1","4","2","2","4","1","4","2","2","4","2","4","2","1","4","4","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","2","2","4","4","4","4","2","1","4","4","2","4","2","4","4","4","4","4","13","15","13","23","14","78"
"A00066131","ENROLLED","VA_ALG","2","3","2","2","4","2","1","2","2","3","2","2","2","2","3","2","4","2","3","4","2","2","2","3","3","2","2","2","2","4","2","2","2","3","4","1","2","2","2","3","2","2","2","3","4","2","3","2","2","2","2","2","3","2","3","2","3","2","3","31","22","23","37","24","137"
"A00031683","Adult- Age 22-59","V1","1","4","3","2","4","1","1","1","1","4","1","3","1","2","3","1","2","1","2","4","1","2","3","3","4","1","2","1","4","4","2","1","1","4","4","1","2","1","4","4","3","2","1","4","4","1","2","1","1","4","4","2","4","1","4","1","2","4","4","20","11","23","40","17","111"
"A00065991","ONE_DAY- Age 22-59","VA","4","4","4","1","4","1","4","2","4","4","2","3","3","2","4","2","4","3","2","4","3","4","3","2","4","4","1","2","4","4","4","2","2","4","4","2","2","2","4","4","4","1","2","4","4","4","4","2","2","4","4","4","4","2","4","4","4","4","4","14","24","15","19","14","86"
"A00051023","Adult- Age 22-59","V1","2","4","2","2","3","1","4","3","4","4","4","4","3","1","4","3","4","3","2","4","2","3","3","2","4","4","1","1","4","4","2","2","1","4","3","2","1","1","3","4","3","1","2","4","4","4","4","1","1","4","4","3","4","1","4","2","4","4","2","14","19","14","26","18","91"
"A00050742","Adult- Age 22-59","V1","1","3","4","2","4","1","2","4","2","4","3","4","4","3","4","2","4","1","4","4","2","4","4","4","4","4","3","1","2","4","4","1","2","4","4","4","2","1","4","4","4","2","1","2","4","2","3","1","2","4","3","4","4","2","4","4","3","2","3","23","17","26","17","16","99"
"A00029127","Adult- Age 22-59","V1","3","2","1","1","2","3","2","1","3","2","4","2","2","1","2","3","2","1","1","2","3","2","1","4","2","1","2","3","2","2","1","3","3","2","3","1","1","3","1","2","1","1","3","2","2","1","2","3","4","1","2","1","2","3","3","1","2","2","2","37","35","19","47","41","179"
"A00065611","ONE_DAY-Age 60-64","VA","1","3","1","1","4","1","3","1","4","4","2","4","3","2","4","2","4","4","3","4","4","4","4","4","4","2","2","1","4","4","4","2","1","4","4","4","1","1","2","4","4","1","1","4","4","4","4","1","1","4","2","4","4","3","4","4","4","4","4","20","16","18","21","14","89"
"A00061275","ONE_DAY-Age 65-85","VA","2","3","3","1","4","1","4","3","4","4","4","4","2","1","4","2","1","4","1","4","2","4","2","2","4","4","1","1","4","4","3","1","1","4","4","3","1","2","2","4","2","1","1","4","4","4","4","2","2","4","4","4","4","2","3","3","4","1","3","22","20","11","23","16","92"
"A00052070","Older Adult- Age 65-85","V1","2","3","2","1","3","1","3","4","2","4","2","3","3","2","4","2","4","2","2","3","2","3","3","2","3","3","1","1","3","4","3","1","1","3","3","2","1","2","3","3","3","1","2","4","4","3","4","1","1","3","3","2","3","2","3","2","2","3","3","22","17","15","28","25","107"
"A00039168","Adult- Age 22-59","V1","3","3","2","2","4","2","2","4","3","4","2","2","2","2","4","2","4","3","2","4","3","4","4","2","4","4","3","1","3","4","4","2","2","1","4","4","2","2","2","4","4","2","2","4","4","4","4","2","2","4","2","1","4","2","4","2","4","4","4","26","23","20","22","14","105"
"A00035625","Adult- Age 22-59","V1","4","4","2","1","4","1","4","2","3","4","2","3","3","2","4","2","4","4","2","4","3","4","3","2","4","4","2","2","3","4","3","2","2","3","4","4","2","2","3","4","4","2","2","3","4","4","3","3","2","4","3","4","3","2","3","3","4","4","4","19","25","19","20","16","99"
"A00052234","Older Adult- Age 65-85","V1","2","4","4","1","4","1","3","3","2","4","1","4","4","2","4","1","4","4","2","4","2","1","4","3","2","4","2","1","2","4","2","3","1","3","4","4","1","1","2","4","4","2","1","4","4","4","3","2","1","4","1","4","2","3","4","4","3","4","4","26","14","21","15","19","95"
"A00065480","ONE_DAY- Age 22-59","VA","1","2","2","1","4","1","3","3","4","4","1","4","2","2","4","1","4","3","1","4","1","4","3","2","2","1","1","1","4","4","3","2","1","4","4","2","1","1","2","4","2","1","1","4","3","3","3","1","1","4","2","1","4","1","4","4","2","4","3","19","11","14","31","20","95"
"A00035076","Older Adult- Age 65-85","V1","1","3","3","2","3","1","2","3","3","3","3","2","2","2","3","1","2","4","4","4","2","2","3","2","4","4","2","1","4","4","3","2","1","3","4","4","2","2","2","3","4","1","2","3","4","4","4","3","2","3","4","4","4","3","3","2","2","4","1","27","19","20","20","25","111"
"A00040594","Adult- Age 22-59","V1","2","3","2","2","4","2","2","2","3","4","1","3","3","2","4","2","4","2","3","3","2","4","2","3","3","2","2","2","3","4","4","2","2","3","4","3","2","2","3","4","3","2","2","4","4","2","2","2","2","3","2","3","3","2","4","1","2","2","2","24","21","23","31","22","121"
"A00033647","Older Adult- Age 65-85","V1","2","4","2","2","3","1","1","3","2","3","2","2","2","2","3","2","2","3","2","3","2","3","3","2","4","4","2","1","3","4","3","2","2","2","3","4","1","1","2","4","4","2","1","4","3","4","2","2","2","3","2","4","4","2","3","4","2","2","2","30","18","21","20","26","115"
"A00044344","Older Adult- Age 60-64","V1","2","4","2","1","4","1","3","2","3","4","1","4","2","1","4","2","4","2","2","4","1","4","3","2","4","2","1","1","4","4","2","1","1","4","4","3","1","2","3","4","3","1","1","4","4","4","4","2","1","4","3","2","4","1","4","4","4","4","4","15","15","13","29","14","86"
"A00030912","Older Adult- Age 60-64","V1","2","4","3","2","4","1","3","4","3","4","1","3","2","3","4","2","4","2","3","4","3","4","4","2","4","4","2","2","4","4","4","2","1","4","4","4","2","2","4","4","4","2","2","4","4","4","2","2","2","4","4","2","4","2","4","2","4","4","4","15","20","23","21","14","93"
"A00058145","Older Adult- Age 65-85","V1","3","4","2","1","4","2","4","2","3","4","2","4","3","3","4","2","4","3","3","4","3","4","3","2","4","3","2","1","4","4","2","2","1","4","4","2","2","2","4","4","3","2","1","4","4","3","4","2","1","4","3","4","4","3","4","3","4","3","4","16","20","20","27","14","97"
"A00067174","ENROLLED","VA_ALG","2","3","4","2","4","2","2","4","2","4","1","2","2","2","4","2","3","4","2","3","1","4","3","2","2","4","1","1","3","4","3","2","2","4","4","3","2","2","3","4","3","1","2","4","3","4","3","2","2","3","2","4","3","2","4","2","2","3","2","24","19","19","20","24","106"
"A00040623","Adult- Age 22-59","V1","1","4","1","1","1","1","4","1","1","4","1","1","4","1","4","1","1","1","1","4","1","1","1","1","1","1","1","1","4","1","1","4","1","1","1","1","1","1","1","4","4","1","1","4","1","1","1","1","1","1","4","1","4","1","1","1","1","4","1","27","11","19","42","41","140"
"A00054532","Adult- Age 22-59","V1","3","4","3","1","4","1","4","3","4","4","4","2","3","1","4","1","4","2","3","4","1","4","2","2","4","4","2","2","4","4","2","2","1","4","4","4","2","2","3","4","4","2","1","4","4","4","4","1","1","4","4","4","4","2","4","4","4","4","4","16","18","17","21","14","86"
"A00028613","Older Adult- Age 60-64","V1","2","4","3","2","4","1","3","4","4","4","1","3","4","2","4","1","4","3","1","4","1","4","3","3","4","4","2","1","4","4","2","2","2","4","4","4","1","2","4","4","3","3","2","4","4","4","4","1","1","4","4","4","4","2","4","4","3","3","3","16","15","18","18","16","83"
"A00076026","Adult- Age 22-59","V1","1","2","2","1","4","2","2","1","3","1","2","2","3","2","1","2","2","3","2","3","3","3","3","3","3","4","2","2","2","4","2","2","2","2","4","4","1","1","2","4","4","2","2","2","3","4","3","2","2","3","2","4","3","3","4","4","2","2","4","35","21","19","22","27","124"
"A00045554","Adult- Age 22-59","V1","2","3","3","1","3","2","4","4","4","3","2","2","2","1","4","2","4","1","1","3","1","4","3","2","4","1","2","2","2","4","3","2","2","3","4","1","1","1","3","4","3","1","1","3","4","2","4","2","2","3","2","2","4","2","4","1","4","3","4","24","19","13","34","18","108"
"A00060006","ENROLLED","V1","2","4","2","2","4","1","2","2","3","4","2","3","2","1","4","1","2","3","2","4","2","2","3","3","3","2","2","1","1","4","1","1","1","3","4","3","1","2","2","4","2","1","1","2","3","2","3","1","1","4","2","1","4","4","4","1","2","1","3","35","15","17","36","19","122"
"A00052340","ENROLLED","V1","1","3","1","1","1","1","3","2","3","3","3","1","1","2","2","2","2","4","3","3","4","4","3","1","2","2","2","2","3","4","2","1","1","3","2","1","1","1","2","2","1","3","2","4","4","4","4","3","1","3","2","4","2","3","4","3","3","3","4","28","21","17","32","31","129"
"A00033247","Adult- Age 22-59","V1","3","2","2","1","3","2","4","2","3","3","2","3","1","2","2","3","2","1","2","3","3","3","2","2","2","2","2","2","2","3","2","3","2","2","3","4","2","2","3","3","2","1","2","2","3","4","3","3","2","2","2","1","3","3","3","1","2","2","2","31","26","19","36","33","145"
"A00050977","Older Adult- Age 65-85","V1","3","4","2","1","4","2","2","3","3","4","1","4","2","2","4","2","4","4","2","4","3","4","3","1","4","4","1","2","2","4","2","1","2","3","4","3","2","2","2","4","2","1","2","4","4","4","4","2","3","4","4","4","3","4","4","2","2","4","2","22","24","14","25","19","104"
"A00037387","Adult-Age 18-21","V1","2","3","3","2","3","2","2","2","2","3","1","3","3","2","3","2","2","2","2","3","3","3","2","2","4","3","2","2","3","3","3","3","1","3","3","1","2","2","2","3","2","3","3","3","4","3","2","1","1","3","3","1","2","2","2","1","2","2","3","28","20","24","34","29","135"
"A00063470","ONE_DAY-Age 65-85","VA","3","3","2","1","3","1","4","2","4","3","1","3","3","1","3","1","3","2","1","3","2","4","2","2","4","3","1","1","4","4","1","1","1","3","3","2","1","2","1","3","2","2","1","4","3","4","2","2","1","4","3","1","3","2","3","1","4","4","3","21","16","14","35","24","110"
"A00066800","ONE_DAY- Age 22-59","VA","2","3","2","1","3","1","2","3","3","4","2","3","2","3","4","1","3","2","2","4","3","4","3","3","4","2","2","1","4","4","2","2","2","2","4","3","2","2","3","4","2","3","2","2","3","1","2","1","1","4","2","1","2","3","2","2","2","2","4","28","18","23","35","22","126"
"A00039951","Adult- Age 22-59","V1","3","3","1","1","3","2","3","1","3","4","2","2","1","2","4","2","3","2","2","3","2","3","1","2","2","1","2","2","2","3","1","1","1","3","3","1","1","2","1","3","1","1","2","2","3","1","3","2","2","2","3","1","2","3","3","1","2","2","3","31","22","16","47","30","146"
